userId,movieId,rating
112,0,5.0
125,0,2.0
297,0,4.0
299,0,4.0
327,0,2.0
28,1,2.0
29,1,4.0
79,1,4.0
194,1,3.5
219,1,2.0
354,1,4.0
13,2,1.0
320,2,1.0
400,2,4.0
434,2,2.0
13,3,3.0
266,3,1.0
299,3,1.0
320,3,3.0
0,4,5.0
13,4,2.0
29,4,4.0
43,4,2.0
47,4,2.0
52,4,2.5
79,4,0.5
83,4,4.0
156,4,3.0
175,4,2.5
194,4,2.5
219,4,0.5
255,4,3.0
275,4,1.0
296,4,3.0
299,4,3.0
316,4,1.5
330,4,4.0
331,4,1.0
333,4,2.0
346,4,4.0
352,4,3.5
354,4,3.0
399,4,3.0
421,4,4.0
437,4,1.0
440,4,4.0
441,4,3.0
442,4,3.0
12,5,4.5
21,5,3.5
37,5,5.0
47,5,3.5
58,5,5.0
63,5,4.5
65,5,4.5
75,5,4.5
79,5,5.0
85,5,4.5
86,5,4.5
93,5,3.5
117,5,4.5
122,5,4.0
125,5,4.5
153,5,4.5
159,5,4.5
164,5,4.5
169,5,5.0
173,5,4.0
175,5,4.5
194,5,4.5
217,5,5.0
219,5,3.5
237,5,3.0
238,5,2.5
256,5,4.0
275,5,4.0
279,5,4.0
299,5,5.0
310,5,4.5
320,5,4.5
348,5,4.5
351,5,4.5
353,5,4.0
412,5,4.0
413,5,3.5
422,5,4.5
426,5,4.0
428,5,4.0
432,5,4.0
434,5,3.0
441,5,4.5
327,6,1.0
27,7,4.0
29,7,3.0
42,7,2.0
47,7,2.0
58,7,3.5
72,7,4.0
75,7,4.0
125,7,4.0
148,7,4.0
165,7,3.0
166,7,3.0
175,7,2.5
194,7,2.0
212,7,2.0
217,7,3.5
235,7,4.0
255,7,3.5
267,7,4.0
282,7,1.0
283,7,3.0
299,7,3.0
304,7,4.5
313,7,2.0
351,7,4.5
354,7,3.0
407,7,1.0
410,7,4.0
411,7,3.5
432,7,2.0
437,7,1.0
439,7,4.0
442,7,3.5
107,8,4.0
194,8,2.5
266,8,1.0
267,8,2.0
327,8,2.0
107,9,3.0
119,9,4.5
166,9,2.0
28,10,4.0
29,10,4.0
47,10,4.0
65,10,4.0
67,10,3.0
72,10,4.0
109,10,4.0
125,10,2.5
150,10,4.0
248,10,4.0
249,10,4.0
267,10,4.0
279,10,3.0
283,10,4.0
296,10,3.0
299,10,4.0
344,10,4.0
434,10,2.0
437,10,4.0
441,10,4.5
442,10,4.0
266,11,3.0
331,11,1.0
421,11,4.0
8,12,4.0
13,12,3.0
14,12,3.0
21,12,4.0
43,12,4.0
47,12,2.5
58,12,4.0
61,12,4.0
65,12,5.0
97,12,2.0
125,12,3.5
150,12,4.0
